text,label,category,title,url,source
"VERA Files Fact Check has two fact-checking initiatives that follow the same ratings system. One of these programs is concentrated on fact-checking falsehoods, flip-flops, and misleading statements of public officials and figures. The other is the third-party fact-checking partnership with Facebook, which is centered on online mis- and disinformation. Read more about VERA Files Fact Check here.",Fake,fake,HOW WE RATE OUR FACT CHECKS,https://verafiles.org/articles/how-does-vera-files-rate-its-fact-checks,Vera Files
"After saying that the impeachment complaint against Vice President Sara Duterte is dead, Senate Minority Leader Vicente Sotto III now admits it is “technically” still alive. Nineteen of the 24 senators voted on Aug. 7 to archive the Articles of Impeachment against Duterte pending the Supreme Court’s resolution of the appeals on its ruling that declared the case unconstitutional. Sotto is among the four senators who opposed the motion. In the Aug. 7 podcast episode of Facts First Tonight with Christian Esguerra, Sotto was asked if the impeachment case against Duterte is already dead following the Senate’s decision. He answered: “Technically hindi dahil in-archive mo lang. ‘Yun ang nilinaw ko sa kanila.” (Technically no because you only archived it. That is what I clarified with them.) Source: Christian Esguerra, Tito Sotto schools senator-lawyers in Sara Duterte impeachment debates, Aug. 7, 2025, watch 15:55 to 16:10 In explaining his vote during the Senate plenary session on Aug. 6, Sotto said: “The Supreme Court decision is now pending appeal. It is prudent to wait for the results than prematurely archiving, if not dismissing, because I know for a fact, once it is archived it is dead.“ Source: Senate of the Philippines, Senate Session No. 6 (August 6, 2025), Aug. 6, 2025, watch from 3:54:36 to 3:54:55 Sotto issued the clarification a day after the Senate vote, as some of his fellow legislators, political analysts and legal experts, including retired SC associate justice Adolfo Azcuna, challenged his earlier statement. Azcuna, one of the authors of the 1987 Constitution, told One News on TV5, “It (archiving the impeachment complaint) does not kill the articles. It’s still alive, only set aside.” On July 25, the Supreme Court declared as unconstitutional the Articles of Impeachment against the vice president. It ruled that the case is barred by the one-year rule under the Constitution, which states that “[n]o impeachment proceedings shall be initiated against the same official more than once within a period of one year.” The High Court further said that the decision is “immediately executory,” which prompted the Senate to convene and consequently vote to archive the impeachment case. The SC ruling is, however, not yet final. On Aug. 5, the House of Representatives filed a motion for reconsideration. It later ordered Duterte and Davao-based lawyer Israelito Torreon, who filed a separate petition in February, to comment on the House appeal within a non-extendible period of 10 days. The High Court has yet to receive Duterte’s comment. Christian Esguerra YouTube channel, Tito Sotto schools senator-lawyers in Sara Duterte impeachment debates, Aug. 7, 2025 Senate of the Philippines, Senate Session No. 6 (August 6, 2025), Aug. 6, 2025 News5, ‘GOOD MOVE’, Aug. 8, 2025 Supreme Court of the Philippines, SC: House impeachment complaint vs VP Duterte barred by 1-year rule, due process or fairness applies during all stages of impeachment process, July 25, 2025 Supreme Court of the Philippines, PRESS BRIEFER, Aug. 5, 2025 Supreme Court of the Philippines, G.R. No. 278359, Feb. 18, 2025",Fake,fake,"FACT CHECK: Sotto flipflops on status of VP Sara’s impeachmentByVERA Files|Aug 9, 2025|3-minute readAfter saying on Aug. 6 that the impeachment complaint against Vice President Sara Duterte is dead once it is archived, Senate Minority Leader Vicente Sotto III now admits the impeachment is ""technically"" still alive after the Senate archived the case.KEEP READING",https://verafiles.org/articles/fact-check-sotto-flipflops-on-status-of-vp-saras-impeachment,Vera Files
"Two YouTube videos are claiming that the International Criminal Court has dismissed the crimes against humanity case against former president Rodrigo Duterte. This is false. The Hague-based international tribunal has yet to begin the trial of Duterte in connection with his bloody drug war. The ICC has provisionally scheduled the confirmation of charges hearing against the former chief executive on Sept. 23, when the judges will decide if there is sufficient evidence for the case to proceed to trial. One of the videos, published on Aug. 3, bore a headline that read: “Hala Konfermado na,Sawakas Digong Uuwi na,Icc Naawa,Kaufman may Problema,Supergoodnews Dds, Vpsara (Whoa, it’s confirmed. At last, Digong is coming home! ICC showed mercy, Kaufman has a problem. Super good news for DDS, VP Sara).” Both videos carried on their thumbnails the erroneous claim of the supposed dismissal of Duterte’s case at the ICC. These are merely clickbaits as the videos showed an unrelated Facebook livestream of former presidential spokesperson Harry Roque on Aug. 3 visiting Filipino seafarers at the Scheveningen port. Roque did not mention the supposed dismissal of Duterte’s charges before the ICC or anything related to the case. The former presidential spokesman, along with the Filipino seamen, only chanted, “Duterte, bring him home,” at the end of his livestream. As of Aug. 6, the latest ruling released by the ICC was dated July 23, when Pre-Trial Chamber I granted the request of Duterte’s legal team to defer the issuance of a decision on the interim release plea filed by the Defense on June 12. The spurious videos emerged four days after Nicholas Kaufman, head of Duterte’s defense team, was quoted as saying in a July 30 FB post that Duterte “has made it known that Roque should stop interfering in his case.” Roque denied interfering in Duterte’s case but admitted that he “offered an additional legal remedy, outside of the ICC, subject to the approval of the former president and his family.” Published by YouTube channels Viral Balita Philippines (created on July 30, 2022) and Viral PHNEWS (June 28, 2022), the videos with untrue claims have collectively garnered 208,211 views and 5,847 likes as of writing.",Fake,fake,"FACT CHECK: Unrelated footage used to FALSELY claim ICC dismissal of Duterte caseByVERA FILES|Aug 6, 2025|2-minute readTwo YouTube videos are claiming that the International Criminal Court has dismissed the crimes against humanity case against former president Rodrigo Duterte. This is false.KEEP READING",https://verafiles.org/articles/fact-check-unrelated-footage-used-to-falsely-claim-icc-dismissal-of-duterte-case,Vera Files
"Social media posts bearing false information on China’s public health circulated early January, following reports there of a surge in respiratory infections caused by the virus called the human metapneumovirus (HMPV). Dr. Margaret Harris, spokesperson of the World Health Organization (WHO), clarified that HMPV is not a cause for alarm as it is expected that countries in the northern hemisphere experience a month-on-month increase in acute respiratory infections during winter. The Philippines’ Department of Health (DOH) has likewise allayed fears about the virus. “The HMPV is not a new virus. We have long been able to detect it. Its symptoms are not severe as well. Like the common cough and cold, an HMPV infection naturally subsides as long as one’s immune system is strong,” Health Secretary Teodoro Herbosa said in Filipino in a Jan. 8 press statement. What is HMPV and where did it come from? How does it spread? Here are two things you need to know: HMPV is a common respiratory virus that circulates in many countries from winter through spring, according to WHO. It is known to cause upper respiratory infection among adults and children below the age of five. This leads to a runny nose, coughs and sore throat. The DOH said that in rare severe cases, HMPV infection may result in bronchitis or pneumonia, especially for babies, older adults and immunocompromised people. Those with existing lung conditions such as asthma, chronic obstructive pulmonary disease or emphysema are at high risk of severe outcomes. The virus was first discovered in the Netherlands in 2001 and very young children then who were infected required hospitalization and mechanical ventilation, based on a study published that same year. Serological surveys, or population-based blood tests, “showed that by the age of five years virtually all children in the Netherlands have been exposed to HMPV and that the virus has been circulating in humans for at least half a century,” according to the study. The virus spreads either through close contact with a person sick with it, sharing a closed space with them, or through contact with a contaminated surface. Some Southeast Asian countries, including the Philippines, reported cases of HMPV infection in December 2024. In the Philippines, the DOH recorded 284 cases of HMPV in 2024, 10 of which were detected from Dec. 1 to Dec. 21. It ranked sixth as the cause of influenza-like illness in the country. “Sinusuri ang HMPV bilang bahagi ng panel 2 (expanded panel) para sa mga specimen na negatibo ang pagsubok sa panel 1 (para sa Influenza, SARS-CoV-2, at RSV) bilang bahagi ng ating Influenza-Like Illness (ILI) at pagsubaybay sa Severe Acute Respiratory Illness (SARI),” the DOH said in a Jan. 8 press statement. (We test for HMPV as part of panel 2 (expanded panel) for specimen negative for panel 1 (Influenza, SARS-Cov-2 at RSV) as part of our Influenza-Like Illness and Severe Acute Respiratory Illness monitoring.) To curb HMPV, public health experts recommend: The New York Times, What We Know About HMPV, the Common Virus Spreading in China – The New York Times, Jan. 7, 2025 Department of Health, MALA-TRANGKASONG SAKIT SA PHL MABABA; HINIHIKAYAT NG DOH NA UMIWAS SA SAKIT NGAYONG PANAHON NG AMIHAN, Jan. 8, 2025 On HMPV",Fake,fake,"FACT SHEET: What we know about the HMPV virusByBlanch Ancla|Jan 22, 2025|3-minute readHMPV is a common respiratory virus that circulates in many countries from winter through spring. It is the sixth most common cause of influenza-like illness in the Philippines.KEEP READING",https://verafiles.org/articles/fact-sheet-what-we-know-about-the-hmpv-virus,Vera Files
"In his second State of the Nation Address in 2023, President Ferdinand “Bongbong” Marcos Jr. promised: “In pooling a small fraction of the considerable but underutilized government funds, the (Maharlika) Fund shall be used to make high-impact and profitable investments, such as the Build Better More program. The gains from the Fund shall be reinvested into the country’s economic well-being.” More than a year and several delays later, the first project of the controversial Maharlika Investment Fund (MIF) is still pending. Here are three things you need to know: Since his appointment as Maharlika Investment Corporation (MIC) president and chief executive officer in November 2023, Rafael Consing Jr. has discussed putting its first investment into promising sectors. The MIC is the corporate arm of the country’s first sovereign wealth fund tasked to choose and decide on its investments “to generate optimal returns.” House Bill No. 6398, filed on Nov. 28, 2022, sought to create the MIF. The bill faced backlash from concerned groups due to the inclusion of GSIS and SSS as sources of funding. House Bill No. 6608, filed on Dec. 12, 2022, excluded both as funding sources; the bill breezed through the lower chamber which approved it on Dec. 15, 2022 Its counterpart Senate bill was passed five months later on May 31, 2023 after Marcos certified the proposed law as urgent. Republic Act (R.A.) No. 11954 or the MIF Act was signed into law on July 18, 2023 and its final implementing rules and regulations (IRR) took effect four months later. “It is a crucial undertaking. It will support our overall goal of 6.5 to 8% gross domestic product growth in the medium term. And through the fund, we will accelerate the implementation of the 194 NEDA Board-approved flagship infrastructure projects,” the president said in a speech at the signing ceremony of the MIF Act on July 18, 2023. By September that year, the Landbank of the Philippines and Development Bank of the Philippines had remitted the P75 billion seed money to the MIC as required by the law. On Nov. 24, 2023, Consing, former banker and executive director at the Office of the Presidential Adviser for Investments & Economic Affairs, took his oath as head of MIC. Marcos appointed four other directors the following month and the board held its inaugural meeting on Jan. 3, 2024, past the date the administration had originally committed to operationalize the sovereign fund. In a Bloomberg interview published on Jan. 18, 2024, Consing said the corporation planned to invest in “infrastructure and energy sector” by the first half of that year to address the country’s most pressing needs. He added, “I expect that (first investment) probably happening in the next 90 to about 120 days. In terms of the amount, well, that has to be determined by the committee just yet.” Source: Philippine Wealth Fund Plans First Investment in Three to Four Months, Jan. 18, 2024, watch from 0:51 to 1:00 A month later on the sidelines of the Philippine Economic Outlook forum, Consing said MIC was still finalizing its organizational structure and that the first investment would instead be made at the end of 2024. He echoed this timeline in August, saying: “We have about eight memorandums of agreement currently taking due diligence on two very important investments. Both in the energy sector. And intuitively, we expect perhaps that in the next 60 to 90 days, we should be able to deploy (the investments).” Source: Senate of the Philippines Youtube page, Committee on Finance (Subcommittee A) (August 27, 2024), Aug. watch from 2:02:37 to 2:03:05 As 2024 ended, Consing again pushed back the target date, saying he expected the initial project to finally happen in the first quarter of this year. In an interview with BusinessWorld last Jan. 2, Consing admitted that organizational preparations consumed the corporation’s first year, saying: “Definitely the first quarter (MIC will make its first investment). I think we had a year to set up. We had a year to basically put our governance in place. We obtained our formal approval to begin hiring last end of July.” Source: BusinessWorld, Maharlika plans its 1st investment in Q1, Jan. 7, 2025 Consing said that MIC now expects its first investment to still be in the energy sector with the healthcare industry to follow within the first half of 2025. Marcos threw out the original IRR of the MIF law dated Aug. 22, 2023. In an Oct. 19, 2023 speech, he denied that this meant putting the MIF “on hold.” “We have found more improvements that we can make, specifically to the organizational structure of the Maharlika Fund,” the president said. “The concept [of the MIF] remains a good one and we are still committed to having it operational before the end of the year [2023].” The revised IRR was signed on Nov. 10, 2023, but Marcos replaced then finance secretary Benjamin Diokno, slowing down the structural organization of the corporation. Section 20 of the MIF Act provides that the secretary of finance automatically assumes the position of chairperson of the MIC’s board of directors. Diokno turned over his position to current Finance secretary and MIC Chairman of the Board Ralph Recto on Jan. 15, 2024. Section 30 of the revised IRR added the provision that the president can reject the advisory body’s recommendation for director positions. It also amended Section 29 of the original IRR which specified the qualifications required of MIC directors, including a master’s degree and a 10-year experience in relevant fields. These are excluded from the revised version, which also removed the itemized responsibilities of the risk management and audit committees in Sections 41 and 42, respectively, of the original IRR. Sections 39 and 40 of the revised version changed these into: “The specific functions of the Risk Management Committee shall be determined by the Board,” and “The Board shall organize an Audit Committee and prescribe its functions and membership.” RTVMalacanang YouTube page, The 2023 State of the Nation Address 07/24/2023, July 24, 2023 Supreme Court E-Library, Republic Act (R.A.) No. 11954 or the Maharlika Investment Fund Act of 2023, July 18, 2023 RTVMalacanang YouTube page, Signing of the Maharlika Investment Fund Act (Speech) 7/18/2023 Senate of the Philippines website, House Bill No. 6608, Dec. 19, 2022 Presidential Communications Office, Consing takes oath as MIC President, CEO, Nov. 24, 2023 Presidential Communications Office, Four new Maharlika Investment Corp. directors sworn in, Dec. 20, 2023 Department of Finance, Maharlika Investment Corporation holds inaugural board meeting, identifies potential sectors to tap, Jan. 4, 2024 On MIC finalizing its organizational structure RTVMalacanang YouTube page, Departure Statement for Participation to the ASEAN-GCC Summit 10/19/2023, Oct. 19, 2023 Department of Finance, Ex-Finance Chief Diokno officially turns over DOF to Recto, Jan. 15, 2024 Official Gazette, Revised Implementing Rules and Regulations of the Maharlika Investment Fund Act of 2023 (Republic Act No. 11954), Nov. 10, 2023 Official Gazette, Implementing Rules and Regulations of the Maharlika Investment Fund Act of 2023 (Republic Act No. 11954), Aug. 22, 2023",Fake,fake,"FACT SHEET: What’s up with the delays in the controversial Maharlika Fund?ByPsalm Mishael Taruc|Jan 20, 2025|5-minute readMaharlika fund faces delays in first investment, safeguards in IRR weakenedKEEP READING",https://verafiles.org/articles/fact-sheet-whats-up-with-the-delays-in-the-controversial-maharlika-fund,Vera Files
"(First of two parts) Sumabog sa popularidad at naglipana online ang mga mis- at disinformation na gawa gamit ang artificial intelligence (AI) ngayong 2024. Sa pagtatapos ng taon, binalikan ng VERA Files ang mga nagawa nitong fact-check. Sa 386 articles na inilabas nito tungkol sa mga online mis- at disinformation mula Enero hanggang Disyembre, 24 sa mga ito ay deepfakes – o mga content na AI-generated o mga original media na minanipula gamit ang AI. Bilang konteksto, simula noong inilunsad ng VERA Files ang fact-checking initiative nito noong 2018, tanging dalawa lamang ang inilabas nitong mga fact-check na may kinalaman sa posibleng AI manipulation bago ang taong ito. Kumpara sa mga nakaraang taon, malaki na ang pinagkaiba ngayon ng disinformation ecosystem. Pero ano nga ba muna ang AI? Paano malalaman kung deepfake ba ang nakita mo o hindi? Panoorin ang video para malaman at mapalalim pa ang iyong pag-unawa rito!",Fake,fake,"AI at deepfakes: Bagong taon, bagong mukha… ng disimpormasyon?!ByValerie Nuval and Bryan Manalang|Dec 29, 2024|1-minute readAno nga ba ang AI? Paano malalaman kung deepfake ba ang nakita mo o hindi? Panoorin ang video para malaman at mapalalim pa ang iyong pag-unawa rito.KEEP READING",https://verafiles.org/articles/ai-at-deepfakes-bagong-taon-bagong-mukha-ng-disimpormasyon,Vera Files
"A video announcement circulating on Facebook claims that all Filipinos aged 15 years old and above must undergo house-to-house drug testing. This is fake and the clip was likely generated using artificial intelligence. A review of the official website and FB page of the Philippine Drug Enforcement Agency shows no recent announcement or memorandum circular mandating such a drug testing approach. A quick keyword search on Google also yielded no credible news reports on this. The earliest copy of the bogus video that VERA Files has tracked down was published on Jan. 8. The clip shows two women alleging: “Paalala! Lahat ng Filipino ay required na magpa-drug test mula 15 years old pataas at house-to-house ang gagawing drug test para walang makakatakas. Tingnan niyo sa post namin ang mga lugar na uunahing i-drug test. Huwag ipagwalang-bahala. Sa post na ito, i-share para marami ang ma-alerto.” (Reminder! All Filipinos aged 15 years old and above are required to undergo a drug test, which will be conducted house-to-house so no one can escape. Check our post for the areas that will be prioritized for drug testing. Do not ignore this. Share this post to alert more people.) Article III, Section 36 of Republic Act. No. 9165, or the Comprehensive Dangerous Drugs Act of 2002, only provides that drug tests should be done by “any government forensic laboratories or by any of the drug testing laboratories accredited and monitored by the [Department of Health] to safeguard the quality of test results.” There is no provision in the law about mandatory door-to-door drug testing, contrary to what some FB pages are spreading online. RA 9165 also specifies those who should be subjected to drug tests. These include applicants for drivers’ and firearms licenses; high school and college students; officers and employees of public and private offices; members of the police, military and other law enforcement agencies; those charged with crimes whose penalties are more than six years; and all candidates for public office, whether appointed or elected. AI detection tool Hive Moderation flagged the video as 99.9% likely to be AI-generated. One red flag in the clip was the mispronunciation of the Filipino word “makakatakas” by one of the women announcers. The watermark of Google’s AI video tool, Veo, appears on the lower right corner of the clip but was posted by the FB pages without a disclaimer or label indicating it was AI-made. Instead, the captions only contained two links that were supposed to lead netizens to the notice and list of areas where the drug testing would be conducted. The bogus links are bait to bring people to several product pages on two online shopping sites. CHR: House-to-house drug testing unlawful In 2017, VERA Files reported house-to-house drug testing being done by the police in Payatas, Quezon City, using “do-it-yourself drug testing kits.” The Commission on Human Rights said that such practice “runs contrary” to RA 9165, noting that “from a human rights perspective, there is a violation of the presumption of innocence.” Published by FB pages Nagkakaisang Pilipino TV Newsline (created on Nov. 25, 2025), Edukasyon Newsline Updates (Sept. 12, 2025), and Malasakit News: Balitang Sapat, Serbisyong Totoo (Jan. 8, 2026), the five posts carrying the AI-generated video advisory have collectively amassed 633,400 views, 9,026 reactions, 1,088 comments and 6,068 shares as of writing.",Fake,fake,"FACT CHECK: NO mandatory house-to-house drug testing for FilipinosA video announcement on Facebook is claiming that all Filipino citizens aged 15 years old and above are required to undergo house-to-house drug testing. This is fake and the clip was likely AI-generated.ByVERA Files|Jan 13, 2026|3-minute readKEEP READING",https://verafiles.org/articles/fact-check-no-mandatory-house-to-house-drug-testing-for-filipinos,Vera Files
"Several posts circulating online claim that Ombudsman Jesus Crispin Remulla passed away after being rushed to the hospital. These are fake. There are no official sources or credible reports confirming the rumors. Remulla himself denied the claims in a recent press conference and said his health is fine. On Jan. 2, a Facebook page uploaded a graphic card mimicking a news report featuring a photo of Remulla. The image contains the following text: BREAKING NEWS. BOYING REMULLA ISINUGOD SA OSPITAL.” BREAKING NEWS. BOYING REMULLA RUSHED TO THE HOSPITAL) A day later, another FB page shared a black-and-white photo of the Ombudsman and also claimed that he had died. The post was accompanied by a caption stating: “BREAKING: Ombudsman Jesus Crispin Remulla has passed away a message via phone saying his life on this very day is continued to be honored and remembered by his friends and family. Rest in privacy, no presscon muna. 1961-2026” On Jan. 9, Remulla appeared live in his first press briefing of the year, where he declared that he is in good health. “I’m [feeling] okay. I workout every day. I sleep early. I wake up early,” Remulla said. The former justice secretary said he had asked the National Bureau of Investigation to look into the spread of what he called an “orchestrated campaign” which has “reached the limit of cyberlibel.” The ombudsman’s younger brother, Interior and Local Government Secretary Jonvic Remulla, also debunked the claims. In a report in the Philippine Star on Jan. 3, he said the hospitalization rumor is “fake news” and that his brother had, in fact, been playing golf that day. In October 2025, the older Remulla revealed having been diagnosed with leukemia in 2023 but became cancer-free after undergoing chemotherapy, total body radiation, and a bone marrow transplant. As of writing, the fake post published by the FB page Kwento ng Bayan Ngayon had garnered 2,000 reactions, 1,900 comments and 51 shares. The image uploaded by FB user Erik Clark Su received 84,000 reactions, 15,800 comments, and 3,200 shares.",Fake,fake,"FACT CHECK: Remulla hospitalization, death rumors FAKESeveral posts circulating on Facebook claim that Ombudsman Jesus Crispin Remulla passed away after being rushed to the hospital. These are fake.ByVERA Files|Jan 13, 2026|2-minute readKEEP READING",https://verafiles.org/articles/fact-check-remulla-hospitalization-death-rumors-fake,Vera Files
"A photo circulating on social media claims that world leaders gathered in The Hague, Netherlands to demand the release of former president Rodrigo Duterte from detention at the International Criminal Court (ICC). This is satire. The image is an edited version of a photo taken during the 2025 summit of the North Atlantic Treaty Organization (NATO) held in the Netherlands. The NATO Summit, attended by leaders of its member states to deliberate on security and policy issues, has no connection to Duterte’s case before the ICC. On Jan. 2, a satirical Facebook page posted a series of images depicting a standee of Duterte positioned in front of a group of NATO officials. In the background, two posters bearing the slogan “Bring him home” can be seen, as well as memes of United States Vice President JD Vance. The caption of the spurious post stated: “BREAKING NEWS Jan 2, 2026. Paki share at paki like ng page natin mga ka-DDS dahil hinding hindi ito ibabalita ng mga Bayarang Media. iiyak nanaman ang mga Bangag at Delawan/Pink dahil walang nagmamahal sa kanilang idolo. GOOD NEWS mga ka-DDS. mga pangulo at leaders sa mundo nag tipontipon para supportahan ang mag release ni Tatay Rodrigo Digong Duterte at maka uwi na sa 🇸🇽 Davao City. World leaders gathered in The Hague, Netherlands, to demand the immediate release of former President Rodrigo Duterte.” (BREAKING NEWS Jan 2, 2026. Please share and like our page, fellow DDS, because the paid media will never report this. The ‘bangag’ and the Yellow/Pink supporters will cry again because no one loves their idol. GOOD NEWS, fellow DDS. Presidents and leaders around the world have gathered to support the release of Tatay Rodrigo “Digong” Duterte and his return to Davao City. World leaders gathered in The Hague, Netherlands, to demand the immediate release of former President Rodrigo Duterte.) A reverse image search shows that the original photo was taken at a social dinner hosted by King Willem-Alexander and Queen Máxima at Huis ten Bosch Palace in The Hague during the NATO Summit on June 24, 2025. It does not contain a Duterte standee, “Bring him home” posters, nor the memes of Vance. The event also made no official mention of Duterte. According to the 2025 The Hague Summit Declaration, NATO leaders focused on discussing key decisions such as boosting defense spending, strengthening deterrence and defense, and providing support for Ukraine. The FB page that shared the post describes itself in its bio as “SATIRE PARODailY News.” A quick review of the page also confirms that it has been uploading satirical posts related to Duterte’s case at the ICC. Duterte has been in the custody of the ICC since his arrest in March 2025 for alleged crimes against humanity charges. Last Nov. 28, the ICC Appeals Chamber rejected his appeal for an interim release request. As of writing, the satirical post published by the Facebook page Duterte Supporter 3r1t4s Copium News (created Dec. 19, 2025) has so far received 1,100 reactions, 252 shares, and 249 comments. Several users believed the image to be true, while others poked fun at the spoof.",Fake,fake,"FACT CHECK: Photo of world leaders calling for Duterte’s release is a SPOOFA post circulating on Facebook claims that world leaders gathered in The Hague to demand the release of detained former president Rodrigo Duterte. This is satire.ByVERA Files|Jan 9, 2026|3-minute readKEEP READING",https://verafiles.org/articles/fact-check-photo-of-world-leaders-calling-for-dutertes-release-is-a-spoof,Vera Files
